pop_size,generation_limit,seed,best_fitness,time_s
512,100,42,2363.767333984375,384.0
512,100,123,3299.302490234375,385.0
512,100,456,2490.369140625,382.9
512,200,42,3262.17431640625,739.9
512,200,123,3346.37744140625,747.1
512,200,456,3485.05615234375,740.5
512,300,42,3408.5751953125,1097.3
512,300,123,3194.19189453125,1102.4
512,300,456,3507.27294921875,1113.4
1024,100,42,3391.577880859375,441.8
1024,100,123,2892.09228515625,441.1
1024,100,456,2704.953369140625,437.3
1024,200,42,3190.903076171875,857.0
1024,200,123,3441.683349609375,850.8
1024,200,456,3386.934326171875,848.5
1024,300,42,3427.053466796875,1251.7
1024,300,123,3565.437744140625,1252.3
1024,300,456,3601.5703125,1248.5
2048,100,42,3259.2890625,552.4
2048,100,123,3310.72705078125,548.2
2048,100,456,3204.676513671875,545.2
2048,200,42,3550.091796875,1066.9
2048,200,123,3430.4150390625,1058.5
2048,200,456,3653.997314453125,1061.9
2048,300,42,3650.299560546875,1577.4
2048,300,123,3730.000244140625,1587.7
2048,300,456,3489.543701171875,1584.8
